founder_uuid,summary,startup_success
50c73e0b-6854-ff6a-e442-7a155a8481ed,"The founder has an MBA from a top-tier business school and has held multiple vice president roles in financial services, including at a major online lending platform. This founder, located in California, has a limited personal brand but has received moderate press and media coverage. They have strong financial experience from working at a top-tier bank and have previous experience in startups. Their company was initiated by a large founding team of co-founders, and they have worked full-time at a moderate number of companies, with none of their previous startups being acquired.",1
e7ae6279-9f8b-39d0-e06f-65e8bc1126b4,"The founder has a BSc in Multimedia Technology and Designs and has founded and led several technology companies in the information and internet sector. Based in New York, this founder has a strong personal brand and public presence, demonstrated by their high levels of press and media coverage. They have previous experience working at a startup and started their company with a small team of co-founders. They have worked full-time at a moderate number of companies and have a history of previous startup acquisitions.",1
b5499427-ba42-2d5b-5a11-3be92519f5d4,"The founder has extensive academic credentials in biochemistry and immunology and is a professor at a major university, with a focus on research and education. This founder, located in Georgia, has received moderate press and media coverage. They started their company alone and have worked full-time at a small number of companies, with none of their previous startups being acquired.",0
fa09911b-b23e-8c52-f15f-8b1b5fe8bad8,"The founder has a postdoctoral background in Protein Engineering and has held senior roles in pharmaceutical manufacturing, including as a chief scientific officer. In California, this founder has garnered moderate press and media coverage. They started their company alone and have worked full-time at a moderate number of companies, with none of their previous startups being acquired.",1
1d34a8a1-2bc7-486b-f624-f950ffc7e03b,"The founder has extensive experience in the entertainment and technology sectors, having founded and led multiple companies focused on computer graphics and production. This founder, based in Florida, has high levels of press and media coverage, indicating strong public visibility. They have previous experience working at a startup and started their company with a small team of co-founders. They have worked full-time at a large number of companies, and none of their previous startups have been acquired.",0
4b758c38-b5c1-6146-d5fb-7a5b74f5275d,"The founder has a BS in Electrical Engineering and has founded a productivity technology company, with experience in product management and engineering. Located in California, this founder has a strong personal brand and public presence, as evidenced by their high levels of press and media coverage. They previously held a junior role at a venture capital firm and have experience working at a startup. They held a director-level role at a public tech company and started their current venture with a small team of co-founders. They have worked full-time at a moderate number of companies, with none of their previous startups being acquired.",0
0c0baf71-1d2c-c266-3c0d-a57b8d60db53,"The founder holds a PhD in Engineering and has founded a small IT services company, with prior experience in higher education and consulting. This founder, based in Illinois, has previous experience working at a startup and started their company alone. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
062229cb-552c-4eb6-b5f4-25db51d95fb7,"The founder has a background in finance and energy, with experience in venture capital and private equity, and has held executive roles in solar energy companies. Based in Texas, this founder has high levels of press and media coverage, suggesting strong public visibility. They previously held a junior role at a venture capital firm and worked at a mid-tier large bank. Their company was started by a small team of co-founders, and they have worked full-time at a large number of companies, with none of their previous startups being acquired.",1
6b3603f2-6f68-4f8a-9b60-ad49fae87e71,"The founder has co-founded a travel technology company and currently runs a consulting firm in the information technology and services sector. This founder, located in California, has previous experience working at a startup and started their company with a small team of co-founders. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
6819279f-5373-4ec4-819b-d6de401c4bf0,"The founder has a dual Bachelor's degree in Computer Science and Computer Software Engineering and is the CEO of a mobile application focused on art events. Based in California, this founder has previous experience working at a startup and started their company with a small team of co-founders. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
ea7cebb5-8d5d-d60e-89ea-ff491ee6d74e,"The founder holds a BA from a top-tier public research university and has served as an advisor in strategy and marketing for a small health and human services firm, as well as an operations director in transportation for a company operating in both the U.S. and China. The company was founded in Texas by a small team of co-founders. The founder has dedicated their career to working full-time at a limited number of companies, and none of their previous startups have been acquired.",0
b05a93a6-6844-edc1-771e-531a1cf1afbf,"This founder, an MBA graduate from a top business school, is the CEO and board member of a small manufacturing company and has held a director role in business development for a government agency. They also have extensive experience in the armed forces and as a financial analyst in higher education. With a background in military service, the founder established their company in Tennessee alongside a small team of co-founders. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
0d06c615-9749-47a2-b6d1-9f9f7d423e26,"The founder has a PhD in Exercise Physiology and currently works as the director of sport development and education for a small organization in spectator sports, while also leading scientific initiatives at a center for advanced sports technology. The founder started their company alone in Wisconsin, having previously worked full-time at a small number of companies. None of their prior startups have been acquired.",0
7fbc8164-9169-c84e-c0e4-e5b75be17399,"This founder has a BS in Interior Design/Business Management and has held several interim chief strategy and marketing officer roles at small media production and online media companies, along with various marketing and branding positions in human resources services. In Florida, the company was founded by a small team of co-founders. The founder has a limited personal brand or public presence but has received moderate press or media coverage. They have worked full-time at a large number of companies, and none of their previous startups have been acquired.",0
d44d053a-0a5e-21db-4cd7-76b292789222,"The founder holds a PhD in Computer Science and has worked as a senior internet services engineer at a major telecommunications company, alongside roles as a software engineer and postdoctoral researcher in higher education. The company was founded in California by a small team of co-founders, with the founder having held a director-level role at a public tech company. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
d649a3fa-0d68-4327-984f-9b5ecd60134a,"This founder has extensive experience in software development, having founded and led multiple companies in the sector, and holds an executive program certification from a prestigious business school, along with a master's and bachelor's degree in Computer Science. In California, the founder started their company alone and has a limited personal brand or public presence. They have held board or advisor roles at large companies and well-known startups, previously worked at a startup, and held a director-level role at a public tech company. The founder has worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",0
61b1e724-52f5-4f91-8302-74d7527ce947,"The founder has a degree from a major university and has gained experience as a marketing intern in the motor vehicle manufacturing industry. The founder established their company alone in Wisconsin, having worked full-time at a small number of companies. None of their previous startups have been acquired.",0
e66216b1-e4d4-e489-1dbd-3582937afcc5,"This founder, with an MBA in Marketing & Finance and an MS in Computer Science, has served as an advisor and investor in various tech ventures, and has held significant roles in software engineering and executive leadership at major technology companies. The company was founded in California by a small team of co-founders. The founder has a strong personal brand and public presence, evidenced by their thought leadership and media recognition. They have high levels of press coverage, previous experience at a startup, and held a C-level role at a public tech company. The founder has worked full-time at a large number of companies and has had previous startup acquisitions.",1
b5ceadac-d2a5-1d26-ae9b-26c6259646ad,"The founder holds a PhD in Electrical Engineering and has served as a senior director of diagnostics research in biotechnology, while also leading technology development at a prominent university. In California, the company was founded by a small team of co-founders. The founder has previous experience working at a startup and held a VP-level role at a public tech company. They have worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",1
2610ae3d-0fa8-4f6a-a525-e9e170b299a6,"This founder has a BA in Fine Arts/Physics and has founded a company focused on product development in the defense and space manufacturing sector, with prior experience in semiconductor manufacturing and research services. The founder started their company in New Mexico with a small team of co-founders. They have previous experience working at a startup and have worked full-time at a small number of companies, with none of their previous startups being acquired.",0
e9e657ec-e9a3-5063-4a6d-cf913c24052d,"The founder has a technician degree in System and Network Administration and has worked as a technical architect and system architect in telecommunications. The company was founded in California by a small team of co-founders. The founder has worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
1028f6ae-b367-4b99-b23e-c98ef386a3a5,"This founder holds a VMD from a prestigious university and has extensive experience in veterinary services, including roles as an emergency veterinarian and director of new product development, alongside founding an online platform related to veterinary services. In Pennsylvania, the founder started their company with a small team of co-founders. They have previous experience working at a startup and have worked full-time at a moderate number of companies, with none of their previous startups being acquired.",0
bcc387a5-1637-479c-8440-24db1017e544,"The founder has a BA in Environmental Business and has co-founded a small events services company, along with founding another company focused on environmental solutions. The company was founded in Washington by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups being acquired.",0
d4ee2fd8-f79e-71a6-1844-b3d54cf83799,"This founder has a BS in Computer Science & Mathematics and has co-founded a social cataloging website, serving as CEO at a major technology company while also mentoring in startup accelerators. In Washington, the company was founded by a small team of co-founders. The founder has a strong personal brand and public presence, as indicated by their thought leadership and media recognition. They have high levels of press coverage, previous experience working at a startup, and held a C-level role at a public tech company. The founder has worked full-time at a moderate number of companies and has had previous startup acquisitions.",1
27e8c07e-41ef-03b3-9567-5c83a5fe2977,"The founder holds a Master of Engineering in Structural Engineering and has worked as a research scientist at a major technology company, while also founding a company in the e-commerce sector. The company was founded in California by a large founding team of co-founders. The founder has a strong personal brand and public presence, demonstrated through their thought leadership and media recognition. They have high levels of press coverage, previous experience working at a startup, and possess IPO experience from a prior startup. The founder has worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
60dd263d-911e-4d77-80f7-a3847d40b565,"This founder has a BS in Biomedical Engineering and has worked as a product manager at a major technology company, alongside experience as a software engineer and co-founder of a startup. In California, the company was founded by a small team of co-founders. The founder has moderate press coverage and previous experience working at a startup, having held a director-level role at a public tech company. They have worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",0
2c54f1b3-fd89-64a2-0d77-83903299eed8,"The founder has studied Nuclear Physics and has held multiple leadership roles in technology and engineering companies, including founding several ventures focused on innovative solutions. The founder started their company alone in Florida, having previous experience working at a startup. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
a9e68175-a4dc-4c4b-ac63-7b5651523dd2,"This founder holds a PhD in Molecular Biology and has extensive experience in medical oncology, serving as a consultant and director in healthcare organizations, while also holding academic positions at major universities. In Texas, the founder started their company alone and has moderate press coverage. They have previous experience working at a startup and have worked full-time at a small number of companies, with none of their previous startups being acquired.",1
4e2978bc-d045-b572-684b-7c7dff97967e,"The founder has co-founded a technology company and has served as a director of security research in a mid-sized computer and network security firm. The company was founded in California by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups being acquired.",1
711d64e7-f30b-130d-86ab-d3af44f7cf01,"This founder holds a PhD in Electrical Engineering and Computer Science and has worked as a software engineer at a major technology company, alongside research roles at a prestigious university. The founder, who worked as a quant at an investment firm, started their company in California with a small team of co-founders. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
77487f84-2244-4103-9372-1295f82278b8,"The founder holds an MBA in Finance from a top-tier public research university and a BS in Economics from a major public university. They have extensive experience in sales and marketing as a vice president at a conference management firm and as a founder of an enterprise management summit. The founder has a background in startups, having previously worked at one before embarking on their own venture. They founded the company independently in California and have since dedicated their efforts full-time to a select few companies. Notably, none of their previous startups have been acquired.",0
3a708e3a-37d5-61c6-d679-21b92968c7d4,"The founder is a managing director in venture capital and private equity at a small firm and has served as president at a midstream company. They also hold board positions at various organizations, showcasing their leadership in the industry. With moderate press and media coverage, the founder has a diverse professional background that includes a junior role at a venture capital firm and board or advisory positions at prominent companies and well-known startups. They co-founded their company in Texas with a small team and have worked full-time at a moderate number of companies, although none of their previous startups have been acquired.",1
90e7da26-60b5-40f8-9ef2-65d542a9687e,"The founder has a Master's degree in Biomedical Informatics and a BS in Biological Sciences from a major public university. They have worked as a research technician and student researcher at a large educational institution, contributing to advancements in the field. The company was established by a small team of co-founders in Arizona, where the founder has also worked full-time at a limited number of companies. Despite their efforts, none of their previous startups have been acquired.",0
fa2a5572-f143-4df4-97d9-0b92c2eab020,"The founder holds a BS in Computer Science from a major university and has served as an engineering group manager and team lead in the armed forces, demonstrating strong leadership and technical skills. The founder brings military work experience to the table and co-founded their company in New York with a small team. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
b1c15b96-c648-4338-ac3b-a14840274cda,"The founder has an MS and BS in Energy Engineering from an Ivy League university. They have experience as a board member and have worked in venture capital, as well as holding a significant role at a major automotive company. The founder has cultivated a limited personal brand but has garnered moderate press coverage. Their professional journey includes a junior role at a venture capital firm, experience at a tier 1 venture capital firm, and a director-level position at a public tech company. They co-founded their company in California with a small team and have worked full-time at a small number of companies, with none of their previous startups being acquired.",1
31f936b3-1e27-f289-e1f5-951dfd1fc0ca,"No information available. The founder's strong financial experience is highlighted by their work at a top-tier bank. They co-founded their company in Tennessee with a small team and have worked full-time at a moderate number of companies, with none of their previous startups having been acquired.",1
cf97a993-0a66-a7dd-acb7-23384e5da4ce,"The founder holds a PhD and MS in Robotics from an Ivy League university. They have held significant roles at a major automotive company and a leading consulting firm, and co-founded a technology company focused on advanced systems. The founder has a limited personal brand but enjoys moderate press coverage. They have previous experience in startups and held a C-level role at a public tech company. Co-founding their company in Pennsylvania with a small team, they have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
125b68f2-7a05-8c40-095b-1027f60720ce,"The founder is the CEO and founder of a company specializing in vertical farming technology, showcasing their entrepreneurial spirit and leadership in the agricultural technology sector. The founder has a background in startups and co-founded their company in California with a small team. They have worked full-time at a small number of companies, and notably, they have had previous startup acquisitions.",1
5b5c44f1-a2d2-40d2-868a-13ff877fc3fe,"The founder has a BBA in Finance from a major public university and has held various roles in financial services, including regional sales director and operations director at a large financial services firm. The company was founded by a small team of co-founders in Minnesota, where the founder has also worked full-time at a small number of companies. None of their previous startups have been acquired.",0
7481fa99-9fa6-935d-169d-0394da29b714,"The founder has completed an executive leadership program at a prestigious business school and holds a BA from a liberal arts college. They have extensive experience in leadership roles across various companies in the insurance and marketing sectors. The founder has experience working at an unknown or medium-sized bank and has a background in startups. They started their company alone in Florida and have worked full-time at a moderate number of companies, with none of their previous startups being acquired.",1
aef03b84-6b5d-80b5-703c-44a53e313e54,"The founder is an alumnus of a prominent startup accelerator and holds a Master's degree in Computer Science. They have experience as a software developer at a major technology company and co-founded a data analytics firm. The founder has previous experience in startups and co-founded their company in California with a small team. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
4ed0cdff-b63c-3c77-abd3-5e6a596bbc70,"The founder holds an MSc and BSc in Computer Science from a top-tier university. They have co-founded a cybersecurity company and held senior technical roles at a major technology company. The founder has established a strong personal brand and enjoys high levels of press coverage, showcasing their public visibility through thought leadership and media recognition. They have previous experience in startups and held a C-level role at a public tech company. Co-founding their company in New York with a small team, they have worked full-time at a moderate number of companies, and they have had previous startup acquisitions.",1
efb3c2b2-b227-8068-86a9-aa6e85475e0f,"The founder has a JD from a prestigious law school and a BBA from a major university. They are the chairman and CEO of a telecommunications company and have held various board positions, demonstrating strong leadership in the industry. The founder has moderate press coverage and has held board or advisory roles at large companies and well-known startups. They have previous experience in startups and held a director-level role at a public tech company. Co-founding their company in Massachusetts with a small team, they have worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",1
38363d5d-aa32-ea42-839a-dda9474954ef,"The founder holds an MBA in Finance from a top business school and a BA in Theoretical Mathematics from a major liberal arts university. They have extensive experience as a CEO and founder in the software development sector. The founder has a limited personal brand but has received moderate press coverage. They have previous experience in startups and held a director-level role at a public tech company. Co-founding their company in Massachusetts with a small team, they have worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",0
57e5a5d6-eef4-472b-accc-54de0c55d7d3,"The founder has a BA in English Literature from a major public university and has held leadership roles at a prominent AI research organization, focusing on safety and policy. The founder enjoys high levels of press coverage, indicating strong public visibility. They co-founded their company in California with a small team and have worked full-time at a small number of companies, with none of their previous startups being acquired.",1
466362a9-9ad7-4723-83d3-1077374aa7a7,"The founder has a diploma in Computer Science and has been actively involved in the Apache Software Foundation, contributing to software development and serving in various leadership roles. The founder has a strong personal brand and public presence, demonstrated by their visibility through thought leadership and media recognition. They co-founded their company in California with a small team and have worked full-time at a large number of companies, with none of their previous startups having been acquired.",1
5ac9743b-7fbc-27ab-4980-a279f4b95e38,"The founder has served as an advisor and co-CEO in the consumer services sector, demonstrating strong leadership and operational skills in managing technology-driven businesses. The founder has previous experience in startups and co-founded their company in Texas with a small team. They have worked full-time at a moderate number of companies, and none of their previous startups have been acquired.",1
8a3b063e-27e2-491c-e348-ac783eb2e16b,"The founder holds a Psy.D. in Clinical Psychology and has extensive experience in product design and development in the technology sector, including leadership roles at a major company. The founder has previous experience working at a startup and co-founded their company in California with a small team. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
eedd2350-eb9c-d0db-a07a-35f389ffc797,The founder has an MBA in Finance and a BS in Mechanical Engineering from major universities. They have held senior leadership roles in business development within the oil and gas industry. The founder started their company alone in Texas and has worked full-time at a moderate number of companies. None of their previous startups have been acquired.,1
98843c46-54d4-491a-aaa9-5bc356b61fb4,"The founder holds an MD and a Master's degree in Public Health. They have extensive experience in the pharmaceutical industry, leading R&D efforts at a major company. The company was co-founded by a small team in New Jersey, where the founder has also worked full-time at a small number of companies. None of their previous startups have been acquired.",1
2b909759-2ddf-75b1-0659-91510d0bbd0a,"The founder holds a BA in Psychology and Music from a top-tier private university and an MPS in Interactive Telecommunications from a major private research university. They are currently the founder and CEO of a small facilities services company and have previously held roles as CTO at a mid-sized online media company and lead technologist at a major hospitality corporation. The founder, based in New York, has garnered significant press and media coverage, indicating a strong public visibility. With prior experience in a startup environment, they embarked on their entrepreneurial journey alone. Their professional history includes full-time roles at a limited number of companies, and notably, none of their previous startups have been acquired.",0
fa840785-2062-3d51-51c8-6b7899706e70,"The founder has a Master's in City Planning from a prestigious technology university and a BA with honors in Political Science from a public research university. They have worked as a research analyst and project administrator at a think tank and have experience as a graduate teaching assistant at a top-tier university. In Massachusetts, the company was established by a small team of co-founders. The founder has a background of working full-time at a small number of companies, and none of their previous startups have been acquired.",0
b3860b4f-c27e-4d2d-8034-0eae8dbd7e77,"The founder holds an MS in Materials Science and Engineering from a major public research university and a BS in Physics from a private research university. They have worked as a consulting materials scientist and have held positions as a research scientist and senior process engineer in the semiconductor manufacturing industry. The company, founded in Ohio, was initiated by a small team of co-founders. The founder has experience working full-time at a moderate number of companies, and none of their previous startups have been acquired.",0
da2143f7-ce26-4245-8a0e-9a8f4e72f55e,"The founder has a DDS in Dentistry from a major private university. They are currently an implant cosmetic dentist and the CEO of a 3D printing company. Based in New Jersey, the company was started by a small team of co-founders. The founder has worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
5facdd25-7611-fd89-f74f-ea24a4f55fe8,"The founder is a co-founder of a consumer services company and has experience in a similar role at another startup. In Tennessee, the company was founded by a small team of co-founders, with the founder bringing previous startup experience to the table. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
ba0a0676-dbc2-a46b-2809-67254d5904d7,"The founder holds an Executive MBA from an Ivy League business school and has a background in industrial design. They serve on the founding board of a performing arts center and are a co-founder and director of an e-commerce company. The company, located in Florida, was initiated by a small team of co-founders. The founder has a strong personal brand and public presence, evidenced by significant media coverage and public visibility. They also have prior experience working at a startup and have worked full-time at a small number of companies, with none of their previous startups being acquired.",1
29ef8a9c-43bd-a832-dcc0-ce5dac9c1a85,"The founder has a BS in Systems Engineering from an Ivy League university and has worked at a mid-sized financial services company. They are also a co-founder of a startup. In California, the company was founded by a small team of co-founders. The founder has previous experience working at a startup and has held full-time positions at a small number of companies, with none of their previous startups having been acquired.",0
dc4404f8-3ae5-a6a4-20b6-4cd8ed1de1b5,"The founder holds a BSc in Computer Science from a public research university. They have worked as a security consultant for a major software development company and have experience as an identity consultant and senior instructor in IT services. The company, based in California, was started by a small team of co-founders. The founder has worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
4520c26f-014c-4920-9bbd-85d68f7c7a61,"The founder has a Bachelor of Business Administration in Finance from a public university. No additional work history is available. In Florida, the founder, who started the company alone, has a strong financial background, having worked at a top-tier bank. They have also held full-time positions at a large number of companies, and none of their previous startups have been acquired.",1
b6aba0d1-7437-4cb6-88e1-796c5e99a7fd,"No education or work history is available for this founder. The founder, based in Georgia, started the company alone and has a solid financial background from their experience at a top-tier bank. They have worked full-time at a large number of companies, and none of their previous startups have been acquired.",0
63e1ab40-8230-f1c1-4c79-48814cb84be0,"No education or work history is available for this founder. In New York, the founder started the company alone and has a strong financial background, having worked at a top-tier bank. They have also held full-time positions at a large number of companies, with none of their previous startups being acquired.",0
cc237ba5-4d45-443f-add1-29f4866c1106,"The founder holds a BA in Communications from a public university and is currently the president of a company in the St. Louis area. The founder, based in Missouri, started the company alone and has previous experience working at a startup. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
299b5975-99a4-9ca0-f051-c66a485f5779,"The founder has a Fellowship in Computational Law from a prestigious private university and an LLB in Common Law from a public university. They are the founder of a legal services startup and have previously founded another startup. In California, the company was founded by a small team of co-founders. The founder has a strong personal brand and public presence, as evidenced by significant media coverage and public visibility. They also have previous experience working at a startup and have worked full-time at a small number of companies, with none of their previous startups being acquired.",0
83543e72-a98d-f0b4-1dc6-f72f25de9d56,"The founder has a background in Mechanical Engineering from a private university and is currently an inventor. The company, located in New York, was started by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups having been acquired.",0
ba5de89b-de10-413a-b807-f3c61e5fcc9f,"The founder holds a PhD in Electrical Engineering and a Master's in Optics from a major public research university. No additional work history is available. In Florida, the founder started the company alone and has a strong financial background from their experience at a top-tier bank. They have worked full-time at a large number of companies, and none of their previous startups have been acquired.",0
8da651a0-6184-4ec7-8958-36f324d43ac9,"The founder has education from a major private university and a prestigious business school. They are currently the CEO of a company. The company, based in Texas, was founded by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups having been acquired.",0
b6027e3c-7cd7-486b-9818-dc3b14f28552,"The founder holds a Bachelor of Arts from a women's college and has worked as the Chief People Officer at a large education administration organization. They have also served as a managing director and vice president in the education sector. In Illinois, the founder started the company alone and has worked full-time at a small number of companies. None of their previous startups have been acquired.",0
51a5fa40-fc8c-45c0-9162-9e1d66ed19ef,"The founder has a PhD in Materials Science and Engineering from a prestigious technology university and a BS in the same field from a public research university. They are a co-founder of a renewable energy company and have held various roles in semiconductor manufacturing and research. The company, located in Massachusetts, was founded by a large team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups having been acquired.",1
f658efcd-48d1-489f-a27e-8f7bca457ad6,"The founder has education from a prestigious private university and a top business school. They are currently self-employed. In New York, the company was started by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a small number of companies, with none of their previous startups having been acquired.",0
89aab394-ed54-430b-800a-7ba89928925a,"The founder holds a BS in Decision Information Technology from a public university and a Master's in Spiritual Psychology from a private institution. They have experience in product operations within the real estate sector and have co-founded a company focused on real estate. The company, based in California, was founded by a small team of co-founders. The founder has previous experience working at a startup and has worked full-time at a moderate number of companies, with none of their previous startups having been acquired.",0
fe0953f3-a8a4-8f23-30b1-4751ea2fa48e,"The founder holds a PhD from a prestigious university and has extensive experience in the biotechnology sector, serving as co-founder, president, and chief scientific officer at a mid-sized biotechnology research firm. They also hold leadership roles on the board of directors and scientific advisory boards for several organizations focused on neuroscience. Based in California, this founder has garnered moderate press and media coverage throughout their career. They have held board or advisory roles at both large companies and well-known startups, and possess previous experience working at a startup. Notably, they have also been involved in an IPO from a prior startup and have participated in startup acquisitions. The company was founded by a small team of co-founders, and the founder has worked full-time at a moderate number of companies.",1
97aacc8a-7255-42b5-b250-d7b6a6ca31f3,"This founder has an MBA from a top business school and a BS in Management Science from a major public university. They have founded and led multiple companies in financial services and non-profit sectors, and have experience as an investment banker at a global investment bank, along with advisory roles in various startups. This founder, based in California, has held board or advisory roles at large companies and well-known startups, along with previous experience in a startup environment. They have served in a C-level role at a public tech company and were part of a small team of co-founders who started the company. The founder has worked full-time at a small number of companies, and none of their previous startups have been acquired.",1
d9743cce-9d87-463e-da1a-f48fa5e025d1,"The founder possesses an Executive MBA and has a strong engineering background, having worked as an engineering lead at a major technology company. They have held various technical roles in telecommunications and medical equipment manufacturing, showcasing a robust career in technology and engineering. Located in California, this founder has held a C-level position at a public tech company and was part of a small team of co-founders who established the company. They have worked full-time at a small number of companies, and none of their previous startups have been acquired.",0
4082b044-fc18-8e15-c78a-b7d25601e07c,"This founder has a BA in Economics and History from a reputable university and has held significant roles in product management and risk assessment within the technology and finance sectors. They serve as a board member for a parking technology company and have experience in military intelligence. This founder, based in New York, has previous experience working at a startup and has held a director-level role at a public tech company. They also bring military work experience to the table. The company was founded by a small team of co-founders, and the founder has worked full-time at a moderate number of companies, with none of their previous startups being acquired.",1
a471db9b-861c-4acf-9298-dc7d0efd3fea,"The founder holds an MSc in Computer Science and a Bachelor of Engineering in Electronic Systems. They have extensive experience as a solutions architect in information technology and services, with a focus on software development and management roles in various companies. Based in Maine, this founder has worked at an unknown or medium-sized bank, which adds to their diverse professional background. The company was started by a small team of co-founders, and the founder has worked full-time at a moderate number of companies. None of their previous startups have been acquired.",0
