Num_Questions,Score_Threshold,Precision_Rate,Recall,F0.5,Predicted_Successful_Founders
17,8,0.03557,0.670886,0.043881,2985
17,9,0.038542,0.582278,0.047393,2392
17,10,0.037982,0.443038,0.046481,1847
17,11,0.040919,0.360759,0.049738,1397
17,12,0.048563,0.310127,0.058417,1013
17,13,0.051908,0.21519,0.061195,659
17,14,0.055696,0.139241,0.063291,399
17,15,0.059459,0.06962,0.061247,189
17,16,0.055556,0.018987,0.040107,58
17,17,0.0,0.0,0.0,11
18,1,0.019684,1.0,0.024484,8032
18,2,0.020018,0.981013,0.024896,7748
18,3,0.021227,0.974684,0.02639,7260
18,4,0.023313,0.968354,0.028966,6568
18,5,0.024428,0.892405,0.030328,5777
18,6,0.026386,0.816456,0.032718,4894
18,7,0.030303,0.778481,0.037514,4064
18,8,0.032857,0.683544,0.040583,3292
18,9,0.038124,0.632911,0.046948,2628
18,10,0.039561,0.525316,0.048538,2102
18,11,0.040574,0.411392,0.049497,1606
18,12,0.041702,0.310127,0.050432,1179
18,13,0.051313,0.272152,0.061254,842
18,14,0.053211,0.183544,0.062019,549
18,15,0.05848,0.126582,0.065531,346
18,16,0.069182,0.06962,0.06927,163
18,17,0.058824,0.018987,0.041436,55
18,18,0.0,0.0,0.0,11
19,1,0.019688,1.0,0.02449,8031
19,2,0.02001,0.981013,0.024886,7751
19,3,0.021212,0.974684,0.026372,7265
19,4,0.02321,0.968354,0.02884,6597
19,5,0.02431,0.892405,0.030182,5805
19,6,0.026659,0.829114,0.033057,4919
19,7,0.029963,0.778481,0.037097,4110
19,8,0.033144,0.702532,0.040947,3354
19,9,0.037161,0.632911,0.045779,2696
19,10,0.040148,0.550633,0.049286,2171
19,11,0.040549,0.43038,0.049519,1681
19,12,0.042105,0.329114,0.051,1239
19,13,0.049127,0.28481,0.05887,920
19,14,0.053782,0.202532,0.063042,599
19,15,0.056,0.132911,0.063329,379
19,16,0.07767,0.101266,0.081466,210
19,17,0.081395,0.044304,0.069721,90
19,18,0.117647,0.012658,0.044248,21
19,19,0.0,0.0,0.0,7
20,1,0.019688,1.0,0.02449,8031
20,2,0.020008,0.981013,0.024883,7752
20,3,0.021168,0.974684,0.026318,7280
20,4,0.023046,0.968354,0.028637,6644
20,5,0.024382,0.905063,0.030274,5870
20,6,0.026712,0.85443,0.03313,5059
20,7,0.028887,0.778481,0.035777,4263
20,8,0.033114,0.734177,0.040932,3508
20,9,0.035778,0.632911,0.044099,2800
20,10,0.039714,0.563291,0.048783,2246
20,11,0.04041,0.449367,0.049402,1761
20,12,0.042912,0.35443,0.052064,1309
20,13,0.049009,0.297468,0.058838,963
20,14,0.056338,0.227848,0.066323,643
20,15,0.055556,0.14557,0.063396,418
20,16,0.076596,0.113924,0.081967,239
20,17,0.083333,0.063291,0.07837,124
20,18,0.1,0.018987,0.053957,34
20,19,0.222222,0.012658,0.051546,13
20,20,0.0,0.0,0.0,4
21,1,0.019684,1.0,0.024484,8033
21,2,0.019951,0.981013,0.024813,7774
21,3,0.020932,0.974684,0.026026,7362
21,4,0.022687,0.968354,0.028193,6749
21,5,0.024321,0.924051,0.030203,6008
21,6,0.026382,0.867089,0.032728,5198
21,7,0.028824,0.803797,0.03571,4411
21,8,0.032913,0.759494,0.0407,3651
21,9,0.03488,0.651899,0.043024,2958
21,10,0.038284,0.575949,0.047072,2382
21,11,0.040936,0.487342,0.050117,1885
21,12,0.041637,0.367089,0.050611,1397
21,13,0.046829,0.303797,0.056364,1029
21,14,0.053061,0.246835,0.062944,739
21,15,0.056723,0.170886,0.06547,480
21,16,0.068345,0.120253,0.074803,282
21,17,0.067568,0.063291,0.066667,152
21,18,0.078431,0.025316,0.055249,55
21,19,0.1875,0.018987,0.067568,20
21,20,0.333333,0.006329,0.029412,7
21,21,0.0,0.0,0.0,4
22,1,0.019684,1.0,0.024484,8033
22,2,0.019887,0.981013,0.024734,7799
22,3,0.020901,0.981013,0.025988,7421
22,4,0.022433,0.974684,0.02788,6870
22,5,0.023959,0.943038,0.02976,6224
22,6,0.025037,0.867089,0.031071,5477
22,7,0.027438,0.822785,0.034014,4743
22,8,0.031054,0.78481,0.038438,3998
22,9,0.033424,0.696203,0.041285,3296
22,10,0.035768,0.607595,0.044061,2689
22,11,0.039945,0.550633,0.049042,2182
22,12,0.041183,0.449367,0.050326,1728
22,13,0.041763,0.341772,0.050657,1297
22,14,0.047325,0.291139,0.056846,976
22,15,0.054252,0.234177,0.064103,686
22,16,0.053097,0.151899,0.061038,456
22,17,0.065385,0.107595,0.070952,264
22,18,0.068966,0.063291,0.067751,149
22,19,0.08,0.025316,0.055866,54
22,20,0.1875,0.018987,0.067568,20
22,21,0.333333,0.006329,0.029412,7
22,22,0.0,0.0,0.0,4
23,1,0.019666,1.0,0.024463,8040
23,2,0.019964,0.987342,0.02483,7819
23,3,0.02078,0.981013,0.025839,7464
23,4,0.022133,0.974684,0.02751,6963
23,5,0.023504,0.949367,0.029199,6387
23,6,0.025276,0.911392,0.031378,5702
23,7,0.026389,0.841772,0.03273,5045
23,8,0.029026,0.797468,0.035955,4346
23,9,0.032751,0.759494,0.040502,3669
23,10,0.0333,0.632911,0.041085,3008
23,11,0.03799,0.588608,0.046734,2453
23,12,0.040827,0.512658,0.050037,1988
23,13,0.044248,0.443038,0.053962,1586
23,14,0.044426,0.335443,0.053753,1197
23,15,0.049494,0.278481,0.059235,893
23,16,0.058728,0.227848,0.068966,617
23,17,0.057831,0.151899,0.066007,419
23,18,0.072961,0.107595,0.077982,237
23,19,0.072,0.056962,0.068389,129
23,20,0.093023,0.025316,0.060606,47
23,21,0.1875,0.018987,0.067568,20
23,22,0.5,0.006329,0.03012,6
23,23,0.0,0.0,0.0,4
24,1,0.019669,1.0,0.024466,8039
24,2,0.019962,0.987342,0.024827,7820
24,3,0.020764,0.981013,0.025818,7470
24,4,0.022085,0.974684,0.027451,6978
24,5,0.023498,0.955696,0.029193,6431
24,6,0.025174,0.917722,0.031253,5765
24,7,0.026131,0.848101,0.032414,5133
24,8,0.02834,0.797468,0.035113,4451
24,9,0.031792,0.765823,0.039332,3811
24,10,0.032694,0.658228,0.040366,3186
24,11,0.036673,0.613924,0.045167,2650
24,12,0.038321,0.531646,0.047054,2197
24,13,0.042849,0.487342,0.052409,1801
24,14,0.045265,0.411392,0.055066,1440
24,15,0.045617,0.322785,0.055076,1122
24,16,0.049878,0.259494,0.059489,826
24,17,0.056314,0.208861,0.065947,590
24,18,0.060302,0.151899,0.068571,402
24,19,0.072398,0.101266,0.076775,225
24,20,0.07438,0.056962,0.070093,125
24,21,0.093023,0.025316,0.060606,47
24,22,0.2,0.018987,0.068807,19
24,23,0.5,0.006329,0.03012,6
24,24,0.0,0.0,0.0,4
25,1,0.019654,1.0,0.024448,8045
25,2,0.019934,0.987342,0.024792,7831
25,3,0.0207,0.981013,0.025739,7493
25,4,0.021984,0.974684,0.027326,7010
25,5,0.023385,0.955696,0.029054,6462
25,6,0.02497,0.917722,0.031001,5812
25,7,0.026107,0.85443,0.032387,5176
25,8,0.028044,0.797468,0.034749,4498
25,9,0.031445,0.765823,0.038907,3853
25,10,0.032964,0.677215,0.040709,3251
25,11,0.036531,0.626582,0.045008,2715
25,12,0.037744,0.537975,0.046367,2257
25,13,0.042071,0.493671,0.051492,1858
25,14,0.044696,0.424051,0.054436,1503
25,15,0.04802,0.360759,0.058092,1191
25,16,0.051429,0.28481,0.061509,879
25,17,0.054859,0.221519,0.064576,642
25,18,0.062921,0.177215,0.072239,449
25,19,0.075,0.132911,0.08216,284
25,20,0.078947,0.075949,0.078329,156
25,21,0.103896,0.050633,0.085837,81
25,22,0.137931,0.025316,0.072993,33
25,23,0.25,0.012658,0.052632,12
25,24,0.0,0.0,0.0,4
25,25,0.0,0.0,0.0,4
26,1,0.019662,1.0,0.024457,8042
26,2,0.019936,0.987342,0.024795,7830
26,3,0.020686,0.981013,0.025722,7498
26,4,0.021934,0.974684,0.027264,7026
26,5,0.023241,0.955696,0.028876,6502
26,6,0.024932,0.924051,0.030956,5861
26,7,0.025867,0.85443,0.032091,5224
26,8,0.027626,0.797468,0.034235,4566
26,9,0.030828,0.765823,0.038151,3930
26,10,0.032589,0.683544,0.040256,3319
26,11,0.036007,0.639241,0.044384,2810
26,12,0.039232,0.582278,0.048228,2350
26,13,0.040996,0.5,0.050216,1931
26,14,0.045108,0.449367,0.055005,1578
26,15,0.046363,0.367089,0.05618,1255
26,16,0.051633,0.310127,0.061963,953
26,17,0.053161,0.234177,0.062882,700
26,18,0.06163,0.196203,0.071429,507
26,19,0.075301,0.158228,0.084118,336
26,20,0.078818,0.101266,0.082474,207
26,21,0.084112,0.056962,0.076792,111
26,22,0.111111,0.037975,0.080214,58
26,23,0.157895,0.018987,0.064103,23
26,24,0.2,0.006329,0.02809,9
26,25,0.0,0.0,0.0,4
26,26,0.0,0.0,0.0,4
27,1,0.019662,1.0,0.024457,8042
27,2,0.019934,0.987342,0.024792,7831
27,3,0.020667,0.981013,0.025698,7505
27,4,0.021887,0.974684,0.027207,7041
27,5,0.02306,0.955696,0.028653,6553
27,6,0.024816,0.936709,0.030815,5969
27,7,0.025541,0.867089,0.031692,5369
27,8,0.027343,0.829114,0.033899,4796
27,9,0.029159,0.772152,0.036107,4189
27,10,0.031267,0.708861,0.038658,3587
27,11,0.034757,0.664557,0.042885,3026
27,12,0.037008,0.588608,0.045544,2518
27,13,0.041607,0.550633,0.051044,2096
27,14,0.042566,0.462025,0.052009,1719
27,15,0.046875,0.417722,0.056995,1412
27,16,0.051329,0.35443,0.06192,1095
27,17,0.052821,0.278481,0.063037,837
27,18,0.056198,0.21519,0.065943,609
27,19,0.065022,0.183544,0.074665,450
27,20,0.068729,0.126582,0.075643,295
27,21,0.076923,0.082278,0.077938,173
27,22,0.086957,0.050633,0.076046,96
27,23,0.104167,0.031646,0.071429,52
27,24,0.125,0.012658,0.045045,20
27,25,0.2,0.006329,0.02809,9
27,26,0.0,0.0,0.0,4
27,27,0.0,0.0,0.0,4
28,1,0.019654,1.0,0.024448,8045
28,2,0.0199,0.987342,0.024751,7844
28,3,0.020535,0.981013,0.025535,7553
28,4,0.021508,0.974684,0.026738,7165
28,5,0.022643,0.962025,0.028138,6718
28,6,0.023852,0.936709,0.029626,6210
28,7,0.025027,0.892405,0.031065,5639
28,8,0.026399,0.841772,0.032742,5043
28,9,0.028058,0.791139,0.034765,4460
28,10,0.030021,0.734177,0.037146,3869
28,11,0.032444,0.677215,0.040075,3303
28,12,0.035917,0.639241,0.044275,2817
28,13,0.038462,0.575949,0.047287,2371
28,14,0.041047,0.506329,0.050289,1953
28,15,0.042804,0.436709,0.052225,1616
28,16,0.044479,0.367089,0.053964,1308
28,17,0.053711,0.348101,0.064645,1028
28,18,0.051948,0.253165,0.061767,774
28,19,0.058719,0.208861,0.068579,566
28,20,0.068627,0.177215,0.078212,412
28,21,0.071698,0.120253,0.077997,269
28,22,0.074324,0.06962,0.073333,152
28,23,0.082353,0.044304,0.070281,89
28,24,0.095238,0.025316,0.06135,46
28,25,0.125,0.012658,0.045045,20
28,26,0.25,0.006329,0.028736,8
28,27,0.0,0.0,0.0,4
28,28,0.0,0.0,0.0,4
29,1,0.019666,1.0,0.024463,8041
29,2,0.019893,0.987342,0.024741,7847
29,3,0.020492,0.981013,0.025482,7569
29,4,0.021386,0.974684,0.026587,7206
29,5,0.022412,0.962025,0.027853,6787
29,6,0.023455,0.936709,0.029136,6315
29,7,0.025095,0.917722,0.031156,5783
29,8,0.026065,0.867089,0.032339,5261
29,9,0.027476,0.816456,0.034059,4700
29,10,0.029115,0.765823,0.036051,4161
29,11,0.031337,0.71519,0.038746,3611
29,12,0.033737,0.651899,0.041633,3058
29,13,0.037322,0.613924,0.045954,2604
29,14,0.039595,0.544304,0.04861,2177
29,15,0.041966,0.481013,0.051337,1815
29,16,0.043276,0.411392,0.052708,1506
29,17,0.048576,0.367089,0.058776,1198
29,18,0.055255,0.322785,0.066234,927
29,19,0.055313,0.240506,0.065382,691
29,20,0.060721,0.202532,0.070609,531
29,21,0.065041,0.151899,0.073439,373
29,22,0.073593,0.107595,0.078558,235
29,23,0.081481,0.06962,0.078797,139
29,24,0.069444,0.031646,0.056054,76
29,25,0.083333,0.018987,0.049669,40
29,26,0.153846,0.012658,0.047619,17
29,27,0.25,0.006329,0.028736,8
29,28,0.0,0.0,0.0,4
29,29,0.0,0.0,0.0,4
30,1,0.019662,1.0,0.024457,8043
30,2,0.019857,0.987342,0.024698,7861
30,3,0.020449,0.981013,0.025428,7585
30,4,0.021282,0.974684,0.026459,7241
30,5,0.022307,0.962025,0.027723,6819
30,6,0.023274,0.936709,0.028913,6364
30,7,0.024778,0.917722,0.030765,5857
30,8,0.025881,0.873418,0.032114,5337
30,9,0.027016,0.816456,0.033493,4780
30,10,0.029356,0.78481,0.036355,4229
30,11,0.031284,0.727848,0.038689,3681
30,12,0.033068,0.658228,0.040823,3150
30,13,0.037785,0.639241,0.046544,2678
30,14,0.038904,0.556962,0.047795,2267
30,15,0.041335,0.493671,0.05061,1891
30,16,0.042648,0.424051,0.052002,1575
30,17,0.047059,0.379747,0.057056,1279
30,18,0.054767,0.341772,0.065822,990
30,19,0.062334,0.297468,0.074039,758
30,20,0.058722,0.21519,0.068715,583
30,21,0.068075,0.183544,0.077873,430
30,22,0.06993,0.126582,0.076805,290
30,23,0.089385,0.101266,0.091533,183
30,24,0.102804,0.06962,0.093857,111
30,25,0.090909,0.031646,0.066138,59
30,26,0.096774,0.018987,0.053191,35
30,27,0.111111,0.006329,0.025773,13
30,28,0.333333,0.006329,0.029412,7
30,29,0.0,0.0,0.0,4
30,30,0.0,0.0,0.0,4
31,1,0.019649,1.0,0.024442,8048
31,2,0.019825,0.987342,0.024657,7874
31,3,0.020459,0.987342,0.025442,7630
31,4,0.021096,0.974684,0.026228,7305
31,5,0.022013,0.962025,0.02736,6910
31,6,0.023263,0.949367,0.028902,6453
31,7,0.024297,0.924051,0.030173,6014
31,8,0.025525,0.892405,0.03168,5529
31,9,0.026311,0.829114,0.032629,4984
31,10,0.028014,0.791139,0.034711,4467
31,11,0.02965,0.740506,0.036696,3951
31,12,0.031909,0.689873,0.03943,3421
31,13,0.034809,0.651899,0.042938,2964
31,14,0.037861,0.613924,0.046608,2567
31,15,0.039781,0.550633,0.048843,2192
31,16,0.040305,0.468354,0.04932,1840
31,17,0.043677,0.424051,0.053225,1538
31,18,0.046825,0.373418,0.056753,1264
31,19,0.055328,0.341772,0.06647,980
31,20,0.062334,0.297468,0.074039,758
31,21,0.058824,0.21519,0.068826,582
31,22,0.068235,0.183544,0.078041,429
31,23,0.06993,0.126582,0.076805,290
31,24,0.089385,0.101266,0.091533,183
31,25,0.102804,0.06962,0.093857,111
31,26,0.090909,0.031646,0.066138,59
31,27,0.096774,0.018987,0.053191,35
31,28,0.111111,0.006329,0.025773,13
31,29,0.333333,0.006329,0.029412,7
31,30,0.0,0.0,0.0,4
31,31,0.0,0.0,0.0,4
32,1,0.019652,1.0,0.024445,8047
32,2,0.019822,0.987342,0.024654,7875
32,3,0.020454,0.987342,0.025435,7632
32,4,0.021064,0.974684,0.026189,7316
32,5,0.021959,0.962025,0.027293,6927
32,6,0.023162,0.949367,0.028778,6481
32,7,0.024088,0.924051,0.029916,6066
32,8,0.025559,0.905063,0.031724,5600
32,9,0.02614,0.841772,0.032423,5093
32,10,0.027929,0.810127,0.034613,4588
32,11,0.028844,0.746835,0.03571,4096
32,12,0.031337,0.708861,0.038744,3579
32,13,0.033646,0.658228,0.041527,3096
32,14,0.037065,0.626582,0.045656,2676
32,15,0.040123,0.575949,0.049296,2273
32,16,0.039563,0.481013,0.048457,1925
32,17,0.042698,0.436709,0.052099,1620
32,18,0.047476,0.398734,0.057629,1331
32,19,0.05283,0.35443,0.063665,1064
32,20,0.062577,0.322785,0.074605,819
32,21,0.061129,0.246835,0.071956,642
32,22,0.064315,0.196203,0.074305,486
32,23,0.063444,0.132911,0.07085,335
32,24,0.075221,0.107595,0.080038,230
32,25,0.091549,0.082278,0.089532,146
32,26,0.101266,0.050633,0.084388,83
32,27,0.086957,0.025316,0.05848,50
32,28,0.142857,0.018987,0.061983,25
32,29,0.142857,0.006329,0.026882,11
32,30,0.0,0.0,0.0,6
32,31,0.0,0.0,0.0,4
32,32,0.0,0.0,0.0,4
33,1,0.019657,1.0,0.024451,8045
33,2,0.01983,0.987342,0.024663,7872
33,3,0.020427,0.987342,0.025402,7642
33,4,0.020984,0.974684,0.026089,7344
33,5,0.021773,0.962025,0.027064,6986
33,6,0.022866,0.949367,0.028411,6565
33,7,0.023694,0.924051,0.029428,6167
33,8,0.025122,0.911392,0.031188,5737
33,9,0.026043,0.873418,0.032312,5304
33,10,0.027055,0.822785,0.033543,4810
33,11,0.028755,0.791139,0.035621,4352
33,12,0.029905,0.734177,0.037004,3884
33,13,0.031896,0.683544,0.03941,3391
33,14,0.034979,0.64557,0.04314,2921
33,15,0.037361,0.594937,0.045979,2521
33,16,0.041242,0.563291,0.050626,2163
33,17,0.040371,0.468354,0.049399,1837
33,18,0.044951,0.436709,0.054779,1539
33,19,0.047809,0.379747,0.057937,1259
33,20,0.055165,0.348101,0.066329,1001
33,21,0.062982,0.310127,0.074924,782
33,22,0.061489,0.240506,0.072243,622
33,23,0.063457,0.183544,0.073011,461
33,24,0.0625,0.126582,0.069541,324
33,25,0.080952,0.107595,0.08517,214
33,26,0.094891,0.082278,0.092068,141
33,27,0.108108,0.050633,0.088106,78
33,28,0.068182,0.018987,0.04491,48
33,29,0.157895,0.018987,0.064103,23
33,30,0.142857,0.006329,0.026882,11
33,31,0.0,0.0,0.0,6
33,32,0.0,0.0,0.0,4
33,33,0.0,0.0,0.0,4
34,1,0.019654,1.0,0.024448,8046
34,2,0.019827,0.987342,0.02466,7873
34,3,0.020411,0.987342,0.025382,7648
34,4,0.020944,0.974684,0.02604,7358
34,5,0.021686,0.962025,0.026956,7014
34,6,0.022841,0.955696,0.028381,6616
34,7,0.023592,0.93038,0.029304,6236
34,8,0.025112,0.924051,0.031178,5819
34,9,0.026039,0.892405,0.032313,5420
34,10,0.026699,0.835443,0.033109,4949
34,11,0.028019,0.797468,0.034718,4502
34,12,0.030002,0.765823,0.037139,4038
34,13,0.030936,0.702532,0.038249,3593
34,14,0.033953,0.670886,0.04191,3127
34,15,0.036384,0.626582,0.044829,2726
34,16,0.039587,0.582278,0.048657,2329
34,17,0.041331,0.518987,0.050655,1988
34,18,0.043943,0.468354,0.05367,1688
34,19,0.047482,0.417722,0.057712,1394
34,20,0.051556,0.367089,0.062258,1129
34,21,0.057778,0.329114,0.069186,904
34,22,0.060056,0.272152,0.071145,720
34,23,0.059754,0.21519,0.069844,573
34,24,0.064133,0.170886,0.07329,425
34,25,0.067114,0.126582,0.074074,302
34,26,0.085,0.107595,0.088727,204
34,27,0.098485,0.082278,0.094752,136
34,28,0.111111,0.050633,0.089686,76
34,29,0.071429,0.018987,0.046012,46
34,30,0.157895,0.018987,0.064103,23
34,31,0.142857,0.006329,0.026882,11
34,32,0.0,0.0,0.0,6
34,33,0.0,0.0,0.0,4
34,34,0.0,0.0,0.0,4
35,1,0.019669,1.0,0.024466,8042
35,2,0.01984,0.987342,0.024676,7868
35,3,0.020427,0.987342,0.025402,7642
35,4,0.020955,0.974684,0.026054,7354
35,5,0.021677,0.962025,0.026945,7017
35,6,0.022823,0.955696,0.02836,6621
35,7,0.023569,0.93038,0.029276,6242
35,8,0.025051,0.924051,0.031104,5833
35,9,0.025933,0.892405,0.032183,5442
35,10,0.026913,0.848101,0.033377,4984
35,11,0.027802,0.797468,0.034453,4537
35,12,0.029584,0.765823,0.036627,4095
35,13,0.030744,0.708861,0.038018,3648
35,14,0.033438,0.677215,0.041287,3205
35,15,0.036403,0.64557,0.044871,2807
35,16,0.038256,0.588608,0.047055,2436
35,17,0.040631,0.537975,0.049848,2097
35,18,0.041368,0.474684,0.050607,1817
35,19,0.045484,0.443038,0.055432,1543
35,20,0.049219,0.398734,0.059682,1284
35,21,0.053038,0.348101,0.063864,1041
35,22,0.058608,0.303797,0.069889,823
35,23,0.063422,0.272152,0.074913,682
35,24,0.060377,0.202532,0.070237,534
35,25,0.065823,0.164557,0.074799,399
35,26,0.071685,0.126582,0.078493,283
35,27,0.089474,0.107595,0.092593,194
35,28,0.089431,0.06962,0.084615,127
35,29,0.114286,0.050633,0.091324,74
35,30,0.071429,0.018987,0.046012,46
35,31,0.166667,0.018987,0.065217,22
35,32,0.142857,0.006329,0.026882,11
35,33,0.0,0.0,0.0,6
35,34,0.0,0.0,0.0,4
35,35,0.0,0.0,0.0,4
36,1,0.019676,1.0,0.024475,8039
36,2,0.019884,1.0,0.024732,7951
36,3,0.020018,0.987342,0.024896,7798
36,4,0.020617,0.981013,0.025637,7523
36,5,0.021285,0.974684,0.026462,7240
36,6,0.022023,0.962025,0.027372,6907
36,7,0.023049,0.949367,0.028637,6513
36,8,0.023996,0.93038,0.029803,6131
36,9,0.025179,0.911392,0.031258,5724
36,10,0.026574,0.892405,0.032972,5311
36,11,0.027417,0.841772,0.033994,4856
36,12,0.028487,0.797468,0.035294,4428
36,13,0.03025,0.759494,0.037439,3972
36,14,0.031472,0.702532,0.038904,3532
36,15,0.034127,0.670886,0.042124,3111
36,16,0.036805,0.632911,0.045347,2722
36,17,0.039642,0.588608,0.048732,2351
36,18,0.040715,0.518987,0.049915,2019
36,19,0.04193,0.462025,0.05125,1745
36,20,0.047361,0.443038,0.057661,1482
